"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-001" 229470.402272538 6716589.99676106 44 4.5045045045045 4.3
"sm-dnos-002" 229532.231998858 6716669.92053786 102 7.20720720720721 5.2
"sm-dnos-003" 229530.762250014 6716706.71534464 99 9.00900900900901 6.7
"sm-dnos-004" 229496.88490131 6716697.13354569 82 17.1171171171171 6.9
"sm-dnos-005" 229633.681833425 6716641.97337255 100 11.7117117117117 5.4
"sm-dnos-006" 229577.85079467 6716739.0247299 156 9.90990990990991 6
"sm-dnos-007" 229599.863713201 6716738.33579399 169 11.7117117117117 6.3
"sm-dnos-008" 229560.904753306 6716903.13161401 102 10.8108108108108 4.5
"sm-dnos-009" 229552.046791044 6716973.0284245 68 8.10810810810811 3.1
"sm-dnos-010" 229619.035074596 6716959.78003695 91 9.90990990990991 3.6
"sm-dnos-011" 229638.88197576 6716952.49357607 69 5.40540540540541 3.5
"sm-dnos-012" 229715.387023137 6716817.89018388 110 10.8108108108108 3.6
"sm-dnos-013" 229735.232401322 6716878.93912789 76 9.00900900900901 3.6
"sm-dnos-014" 229676.437014838 6716898.04349119 115 13.5135135135135 11.3
"sm-dnos-015" 229655.833139014 6716896.5479191 143 13.5135135135135 11.5
"sm-dnos-016" 229666.122956041 6717056.43085928 109 10.8108108108108 4.7
"sm-dnos-017" 229660.185979712 6717097.66614807 87 9.00900900900901 4
"sm-dnos-018" 229688.190979039 6717157.9135901 44 3.6036036036036 1.1
"sm-dnos-019" 229700.675500309 6717210.79766301 78 14.4144144144144 4.5
"sm-dnos-020" 229770.54351124 6717106.31879659 79 6.30630630630631 3.4
"sm-dnos-021" 229547.679404459 6716431.4512421 105 7.20720720720721 9.3
"sm-dnos-022" 229908.158283337 6716928.92520461 81 4.5045045045045 2.2
"sm-dnos-023" 229956.843515679 6716891.04996277 70 2.7027027027027 1.9
"sm-dnos-024" 230069.129002984 6716843.72463277 39 2.7027027027027 0.8
"sm-dnos-025" 230227.355903765 6716743.59076686 50 7.20720720720721 1.5
"sm-dnos-026" 230234.140009598 6716727.44684562 58 6.30630630630631 1.6
"sm-dnos-027" 230255.468224615 6717008.73405855 122 18.018018018018 10.1
"sm-dnos-028" 230216.282280014 6717030.42106158 53 4.5045045045045 1.6
"sm-dnos-029" 230320.593566368 6717173.48540989 44 4.5045045045045 1.1
"sm-dnos-030" 230595.744121142 6717619.06823535 58 7.20720720720721 1.8
"sm-dnos-031" 230611.005867996 6717677.56422117 76 9.00900900900901 4.6
"sm-dnos-032" 230521.536952835 6717464.97232914 83 4.5045045045045 1.7
"sm-dnos-033" 230563.370847601 6717333.19090336 115 16.2162162162162 5.5
"sm-dnos-034" 230275.554106736 6717212.8921123 75 6.30630630630631 1.7
"sm-dnos-035" 229764.363759631 6716555.04784308 113 15.3153153153153 2.7
"sm-dnos-036" 229886.206239932 6716714.07101056 116 7.20720720720721 4.4
"sm-dnos-037" 230003.364208882 6716745.96000211 55 9.00900900900901 1.8
"sm-dnos-038" 230038.756972599 6716644.42075004 66 5.40540540540541 1.3
"sm-dnos-039" 230115.459096107 6716537.55351745 33 4.5045045045045 1
"sm-dnos-040" 229954.39728525 6716510.15389519 117 8.10810810810811 2.9
"sm-dnos-041" 229843.44078009 6716373.91352832 85 6.30630630630631 2.8
"sm-dnos-042" 230068.96007521 6716215.389724 91 7.20720720720721 3.8
"sm-dnos-043" 230092.332196007 6716242.68808855 104 5.40540540540541 4
"sm-dnos-044" 229892.079288963 6716269.58795979 69 7.20720720720721 2.4
"sm-dnos-045" 229299.872231492 6716292.78725201 230 13.5135135135135 8.6
"sm-dnos-046" 229355.638188531 6716290.69585838 219 17.1171171171171 5.9
"sm-dnos-047" 229223.808745844 6716216.62228372 243 13.5135135135135 16.1
"sm-dnos-048" 229051.936258387 6716227.7749998 113 11.7117117117117 3.8
"sm-dnos-049" 229004.270641453 6716279.53794859 160 18.018018018018 6.8
"sm-dnos-050" 228968.728648263 6716374.85882916 163 13.5135135135135 6.6
"sm-dnos-051" 229091.444963502 6716381.0445595 91 3.6036036036036 2.9
"sm-dnos-052" 229164.496402622 6716333.33407221 125 12.6126126126126 4.1
"sm-dnos-053" 229362.408007964 6716335.34430484 160 8.10810810810811 7.4
